symbol,side,direction,entry_price,exit_price,quantity,margin_used,leverage,effective_position,profit_pct,pnl_usd,hold_time_minutes,confidence,win_probability_used,market_regime,signal_strength,outcome,timestamp
TOKEN173/USDT,buy,LONG,13.601467493513658,14.095204203083052,1.8380369626970132,0.5,50,25.0,0.036300252881157714,0.9075063220289429,236.57054790907128,92.69276710935979,0.93,NORMAL,HIGH,WIN,2025-05-29 12:50:38.823927
TOKEN175/USDT,buy,LONG,83.57868414178104,90.88910067098477,0.2991193299668436,0.5,50,25.0,0.08746747575975851,2.1866868939939628,329.9670780976619,90.78318830286386,0.9039159415143193,HIGH_VOLATILITY,HIGH,WIN,2025-05-29 12:50:38.823927
TOKEN178/USDT,buy,LONG,4.9418672965478825,4.867078186606017,5.058816536304734,0.5,50,25.0,-0.015133775444376765,-0.3783443861094191,88.32102996757412,83.5034360905785,0.8575171804528925,HIGH_VOLATILITY,MODERATE,LOSS,2025-05-29 12:50:39.330056
TOKEN179/USDT,sell,SHORT,71.38839136445719,72.7962982809036,0.3501969931269103,0.5,50,25.0,0.019721790749684595,0.4930447687421149,67.94097117794827,89.11096951706904,0.8855548475853452,HIGH_VOLATILITY,MODERATE,WIN,2025-05-29 12:50:39.330056
TOKEN194/USDT,sell,SHORT,11.139600452854186,11.571079956551625,2.2442456626525153,0.5,50,25.0,0.03873384018785746,0.9683460046964364,195.4454395295633,89.83642038874622,0.889182101943731,HIGH_VOLATILITY,MODERATE,WIN,2025-05-29 12:50:39.333056
TOKEN198/USDT,buy,LONG,24.031548593704283,23.695358350552883,1.04029916767617,0.5,50,25.0,-0.013989537205249996,-0.3497384301312499,176.337610470618,86.38343631321916,0.9019171815660958,NORMAL,MODERATE,LOSS,2025-05-29 12:50:39.334056
ETH/USDT,sell,SHORT,2836.1496941720866,2898.9224691174886,0.008814767447350082,0.5,50,25.0,0.022133096526742457,0.5533274131685614,290.05057045007123,95.0,0.93,NORMAL,HIGH,WIN,2025-05-29 12:50:40.854282
DOGE/USDT,sell,SHORT,0.22771206163733534,0.23593767273072308,109.78777241855613,0.5,50,25.0,0.03612286074897609,0.9030715187244023,302.48507759307915,83.3784026632452,0.856892013316226,HIGH_VOLATILITY,MODERATE,WIN,2025-05-29 12:50:40.856282
LTC/USDT,sell,SHORT,79.63159580348679,84.22178724916502,0.31394573658544384,0.5,50,25.0,0.05764284137926613,1.4410710344816533,173.81850624075219,91.8416573802659,0.93,NORMAL,HIGH,WIN,2025-05-29 12:50:40.858284
FIL/USDT,buy,LONG,24.7073926159031,25.395649143447024,1.0118429082601197,0.5,50,25.0,0.027856299458362318,0.6964074864590579,12.926288337647495,82.94309268791237,0.8547154634395618,HIGH_VOLATILITY,MODERATE,WIN,2025-05-29 12:50:40.858284
ALGO/USDT,buy,LONG,104.63498234588722,108.7720515902442,0.23892582996151907,0.5,50,25.0,0.03953810811265078,0.9884527028162695,304.5636520318954,80.30815326393568,0.8415407663196783,HIGH_VOLATILITY,MODERATE,WIN,2025-05-29 12:50:40.859285
SNX/USDT,buy,LONG,89.3091532750249,93.98691936047294,0.27992651462065976,0.5,50,25.0,0.052377230260407935,1.3094307565101984,343.46977375751817,90.55005222357552,0.93,NORMAL,HIGH,WIN,2025-05-29 12:50:40.861284
YFI/USDT,buy,LONG,58.15160076040845,56.92110118121672,0.4299107792922673,0.5,50,25.0,-0.021160201320364926,-0.5290050330091232,74.4971010266917,82.28008659267063,0.8514004329633531,HIGH_VOLATILITY,MODERATE,LOSS,2025-05-29 12:50:41.363793
CRV/USDT,sell,SHORT,35.83911393970173,36.62851339174764,0.6975618884457292,0.5,50,25.0,0.022026198900286592,0.5506549725071648,169.0471969573943,92.58860926233292,0.93,NORMAL,HIGH,WIN,2025-05-29 12:50:41.363793
1INCH/USDT,sell,SHORT,11.399094320696225,11.207970429897246,2.1931566926865353,0.5,50,25.0,-0.016766585609522818,-0.41916464023807043,172.41366685897125,86.40292450586652,0.9020146225293326,NORMAL,MODERATE,LOSS,2025-05-29 12:50:41.364766
BAL/USDT,sell,SHORT,23.380863378024877,24.33952822753006,1.0692505060996556,0.5,50,25.0,0.04100211502053467,1.0250528755133668,83.75470499848944,81.7854489711588,0.848927244855794,HIGH_VOLATILITY,MODERATE,WIN,2025-05-29 12:50:41.364766
ZRX/USDT,sell,SHORT,98.93220618817244,96.41789340512746,0.2526982967755631,0.5,50,25.0,-0.0254145023134598,-0.635362557836495,235.26831867379033,80.0,0.84,HIGH_VOLATILITY,MODERATE,LOSS,2025-05-29 12:50:41.365791
LUNA/USDT,sell,SHORT,43.50204511833789,45.06304657329582,0.5746856252848094,0.5,50,25.0,0.03588340388851985,0.8970850972129962,58.20909959476976,84.4162074929889,0.8620810374649445,HIGH_VOLATILITY,MODERATE,WIN,2025-05-29 12:50:41.366782
ICP/USDT,sell,SHORT,7.133941951404634,6.95724053738346,3.5043739029972953,0.5,50,25.0,-0.02476911295674084,-0.6192278239185209,65.00599985038308,80.8641251103574,0.844320625551787,HIGH_VOLATILITY,MODERATE,LOSS,2025-05-29 12:50:41.369766
ZIL/USDT,buy,LONG,50.72708628561204,51.59166935940361,0.4928333525651535,0.5,50,25.0,0.01704381499311129,0.4260953748277822,153.74773797790175,81.93072962598838,0.8796536481299418,NORMAL,MODERATE,WIN,2025-05-29 12:50:41.370764
ICX/USDT,buy,LONG,79.54752867182886,82.527977841387,0.31427751958375494,0.5,50,25.0,0.03746752689016789,0.9366881722541973,23.827645046508575,86.41356476277585,0.9020678238138793,NORMAL,MODERATE,WIN,2025-05-29 12:50:41.877041
WAVES/USDT,sell,SHORT,30.29958850265653,29.68203025591109,0.8250937136591183,0.5,50,25.0,-0.02038173708832035,-0.5095434272080088,100.76224166210308,80.0,0.84,HIGH_VOLATILITY,MODERATE,LOSS,2025-05-29 12:50:41.878042
REEF/USDT,buy,LONG,59.184278236654585,62.274145336032355,0.42240947672006507,0.5,50,25.0,0.052207565783308256,1.3051891445827064,59.73233707925547,90.31683666063815,0.93,NORMAL,HIGH,WIN,2025-05-29 12:50:41.880041
NKN/USDT,buy,LONG,31.637105467224018,32.6675504724413,0.7902113556469302,0.5,50,25.0,0.03257077377969442,0.8142693444923604,325.22893015611635,87.3274462273414,0.906637231136707,NORMAL,MODERATE,WIN,2025-05-29 12:50:41.881041
KAVA/USDT,buy,LONG,43.478265307530734,42.39289995122218,0.574999941307912,0.5,50,25.0,-0.024963400647002525,-0.6240850161750631,264.3141673798224,85.71804450359326,0.8685902225179662,HIGH_VOLATILITY,MODERATE,LOSS,2025-05-29 12:50:41.882041
APT/USDT,sell,SHORT,17.394984544924107,17.043319424265235,1.437195873065323,0.5,50,25.0,-0.020216466404478103,-0.5054116601119526,233.21269174329896,82.19797772717153,0.8509898886358577,HIGH_VOLATILITY,MODERATE,LOSS,2025-05-29 12:50:42.391979
OP/USDT,sell,SHORT,7.717292160767807,7.962400884149322,3.2394782365622796,0.5,50,25.0,0.03176097499943933,0.7940243749859832,95.54883481291161,84.86200040033951,0.8943100020016975,NORMAL,MODERATE,WIN,2025-05-29 12:50:42.392958
IMX/USDT,sell,SHORT,9.73768369595358,9.97888809856006,2.5673456625407294,0.5,50,25.0,0.024770203072698792,0.6192550768174698,310.12707491467484,84.74559508695987,0.8637279754347993,HIGH_VOLATILITY,MODERATE,WIN,2025-05-29 12:50:42.392958
DYDX/USDT,sell,SHORT,23.909160888573883,25.075806300322444,1.0456243159895848,0.5,50,25.0,0.04879491242647896,1.219872810661974,311.11327931743676,90.48564569020543,0.9024282284510271,HIGH_VOLATILITY,HIGH,WIN,2025-05-29 12:50:42.394978
SUI/USDT,buy,LONG,17.56244202116228,17.88530446715419,1.4234922438391915,0.5,50,25.0,0.018383687507857238,0.45959218769643095,270.839229385232,91.96156533822419,0.93,NORMAL,HIGH,WIN,2025-05-29 12:50:42.395958
ARK/USDT,buy,LONG,65.82617686650099,66.9658067661184,0.3797881206241301,0.5,50,25.0,0.01731271591131077,0.43281789778276925,330.40073403469336,81.94879256466596,0.8497439628233298,HIGH_VOLATILITY,MODERATE,WIN,2025-05-29 12:50:42.396960
BOBA/USDT,buy,LONG,4.167168288421037,4.291535574091571,5.999277751624627,0.5,50,25.0,0.029844555598127213,0.7461138899531803,153.23482300775194,85.63164076166943,0.8981582038083471,NORMAL,MODERATE,WIN,2025-05-29 12:50:42.902079
CRO/USDT,buy,LONG,71.11323484879779,73.61587524225818,0.35155200087797217,0.5,50,25.0,0.035192329511961565,0.8798082377990392,9.289996735052323,85.81393194681876,0.8690696597340938,HIGH_VOLATILITY,MODERATE,WIN,2025-05-29 12:50:42.903072
HT/USDT,sell,SHORT,44.93662275372843,45.802051635896696,0.5563390942174382,0.5,50,25.0,0.0192588768166043,0.4814719204151075,319.36671858273445,83.69013348970715,0.8584506674485357,HIGH_VOLATILITY,MODERATE,WIN,2025-05-29 12:50:42.903072
USDC/USDT,buy,LONG,60.582110810812075,62.397571946195555,0.4126630727356277,0.5,50,25.0,0.029966950822378238,0.7491737705594559,235.01307516995843,92.50473385791067,0.93,NORMAL,HIGH,WIN,2025-05-29 12:50:42.905072
SPELL/USDT,sell,SHORT,99.86117377415722,105.1417705960937,0.25034754805245113,0.5,50,25.0,0.052879378665014486,1.3219844666253622,259.4441630770425,87.38414093538651,0.8769207046769325,HIGH_VOLATILITY,MODERATE,WIN,2025-05-29 12:50:42.906056
BANANA/USDT,sell,SHORT,86.20872925766503,90.25994511001167,0.28999383490828096,0.5,50,25.0,0.04699310484252888,1.174827621063222,335.29416673066015,86.64989645489224,0.8732494822744612,HIGH_VOLATILITY,MODERATE,WIN,2025-05-29 12:50:42.907054
ALICE/USDT,buy,LONG,71.20589881321749,74.2240539475399,0.351094507852198,0.5,50,25.0,0.042386307660260344,1.0596576915065086,70.03646486970973,85.73651612503264,0.8986825806251632,NORMAL,MODERATE,WIN,2025-05-29 12:50:43.413836
SKILL/USDT,sell,SHORT,63.68525590576486,65.91294623831396,0.3925555396525771,0.5,50,25.0,0.03497968722690574,0.8744921806726434,113.85413618495973,94.65201871747756,0.93,NORMAL,HIGH,WIN,2025-05-29 12:50:43.415833
WARS/USDT,buy,LONG,81.89046020833455,84.43736149719358,0.30528586524484547,0.5,50,25.0,0.031101318546501586,0.7775329636625397,262.5559237303595,82.08656853692489,0.8804328426846244,NORMAL,MODERATE,WIN,2025-05-29 12:50:43.416835
BABYDOGE/USDT,sell,SHORT,0.18690644369740825,0.1822190884599817,133.75675822324078,0.5,50,25.0,-0.0250786176479563,-0.6269654411989075,127.9440032835988,83.27339328235573,0.8563669664117786,HIGH_VOLATILITY,MODERATE,LOSS,2025-05-29 12:50:43.417836
SAITAMA/USDT,sell,SHORT,55.85951230559892,57.24005358346576,0.4475513474451548,0.5,50,25.0,0.02471452436451834,0.6178631091129585,291.1535202077049,90.05755607408078,0.9002877803704039,HIGH_VOLATILITY,HIGH,WIN,2025-05-29 12:50:43.418835
DOGELON/USDT,sell,SHORT,0.9059047403595302,0.9416550604656326,27.596720589052385,0.5,50,25.0,0.03946366379749166,0.9865915949372914,79.4781090996023,80.0,0.84,HIGH_VOLATILITY,MODERATE,WIN,2025-05-29 12:50:43.418835
AKITA/USDT,buy,LONG,14.985987576534177,15.326480143691132,1.6682250583969704,0.5,50,25.0,0.0227207293091659,0.5680182327291475,121.88410573444563,93.64762436476549,0.93,NORMAL,HIGH,WIN,2025-05-29 12:50:43.419834
APE/USDT,sell,SHORT,57.23584924034345,58.208447704619836,0.43678918600509586,0.5,50,25.0,0.01699281966084344,0.424820491521086,59.263044604971256,83.84949472911525,0.8592474736455762,HIGH_VOLATILITY,MODERATE,WIN,2025-05-29 12:50:43.927541
TOKEN161/USDT,buy,LONG,53.26731364439924,54.77194705818505,0.4693309703375404,0.5,50,25.0,0.028246842403775226,0.7061710600943807,84.58913881846281,85.31559546263557,0.8965779773131779,NORMAL,MODERATE,WIN,2025-05-29 12:50:43.928563
TOKEN162/USDT,buy,LONG,41.559254120880915,40.67425595440371,0.6015507383093064,0.5,50,25.0,-0.021294852017869747,-0.5323713004467436,142.2858132228476,83.76381362012513,0.8588190681006257,HIGH_VOLATILITY,MODERATE,LOSS,2025-05-29 12:50:43.929541
TOKEN169/USDT,buy,LONG,103.14558749214996,104.60797871172035,0.24237585540828552,0.5,50,25.0,0.014177932911397463,0.3544483227849366,316.0532745247825,80.55389088391078,0.8727694544195539,NORMAL,MODERATE,WIN,2025-05-29 12:50:43.930540
TOKEN188/USDT,sell,SHORT,43.02402626585178,46.39674134309057,0.5810706753831295,0.5,50,25.0,0.07839143311224009,1.9597858278060023,12.703773155342255,90.70296030059764,0.9035148015029881,HIGH_VOLATILITY,HIGH,WIN,2025-05-29 12:50:44.440079
TOKEN193/USDT,sell,SHORT,59.034190328742746,60.85609037108851,0.423483406154686,0.5,50,25.0,0.03086177742423822,0.7715444356059555,225.91258012556597,80.0,0.84,HIGH_VOLATILITY,MODERATE,WIN,2025-05-29 12:50:44.441078
TOKEN196/USDT,sell,SHORT,21.521276410643484,21.973183044324944,1.161641137030148,0.5,50,25.0,0.02099813343124798,0.5249533357811995,193.4623960302467,80.76823927000143,0.8738411963500071,NORMAL,MODERATE,WIN,2025-05-29 12:50:44.442133
TOKEN199/USDT,buy,LONG,101.68534019854192,105.55134585162864,0.24585648188015286,0.5,50,25.0,0.03801930195186722,0.9504825487966806,358.4621224210366,86.61218844155083,0.9030609422077541,NORMAL,MODERATE,WIN,2025-05-29 12:50:44.443071
